"","Feature","Ratio","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3","M.Ave","M.SD","A"
"1808","CCT4","Endo",3.0296803652968,4.00193423597679,3.18604651162791,3.15113350125945,4.57509157509157,4.47043701799486,-0.246152328819613,0.220803999544202,1.90138653253367
"1809","CCT5","Endo",2.56164383561644,3.76982591876209,3.17124735729387,3.61209068010076,4.05860805860806,4.34704370179949,-0.35241183937255,0.213950878013066,1.84267447998701
"1810","CCT6A","Endo",1.68036529680365,2.93810444874275,1.90274841437632,2.44080604534005,2.84249084249084,3.2853470437018,-0.426271245659857,0.429016601910288,1.33054521508166
"1811","CCT6B","Endo",0.0205479452054795,0.00580270793036751,0.0105708245243129,0.0100755667506297,0.00915750915750916,0.0154241645244216,-0.0584000729213961,0.942663833481639,-6.38928798381668
"1812","CCT7","Endo",2.29452054794521,2.52804642166344,2.34672304439746,2.37027707808564,2.76373626373626,2.76349614395887,-0.137102331613117,0.0947786672292691,1.32833858534474
"1813","CCT8","Endo",1.96575342465753,2.80464216634429,2.37209302325581,2.79596977329975,3.26007326007326,3.16195372750643,-0.380003244872133,0.148650110769445,1.44718114427446
"1815","CCZ1","Endo",1.11415525114155,1.05222437137331,1.17758985200846,1,0.974358974358974,1.03084832904884,0.152957472282563,0.0406267527618105,0.0816070462206977
"1816","CD14","Endo",1.73744292237443,2.09284332688588,1.44820295983087,1.14105793450882,1.29304029304029,1.61439588688946,0.381520007587569,0.468215597120216,0.636448037169762
"1817","CD151","Endo",1.68493150684932,1.47775628626692,2.07822410147992,1.69521410579345,1.18131868131868,1.17737789203085,0.378002129070782,0.41700410020232,0.631464825485489
"1818","CD163","Endo",0.963470319634703,1.01160541586074,0.873150105708245,1.13853904282116,1.76373626373626,1.56041131105398,-0.626828193449086,0.334722780192682,0.285088976271283
"1820","CD164","Endo",19.9977168949772,18.8375241779497,26.9513742071882,39.7783375314861,25.9212454212454,24.1619537275064,-0.431683878435456,0.575427064928018,4.69718213657404
"1822","CD180","Endo",0.0753424657534247,0.0309477756286267,0.137420718816068,0.163727959697733,0.131868131868132,0.107969151670951,-0.954324508356374,1.22797151152589,-3.21250913022947
"1823","CD19","Endo",0.0273972602739726,0.00386847195357834,0.0338266384778013,0.0302267002518892,0.032967032967033,0.0334190231362468,-1.07182997992997,1.750628118748,-5.21352517364589
"1824","CD1D1","Endo",0.897260273972603,0.746615087040619,1.09725158562368,1.09068010075567,0.69047619047619,0.601542416452442,0.232766466699758,0.583717301485029,-0.227741114020023
"1825","CD2","Endo",0.0114155251141553,0.00193423597678917,0.00634249471458774,0.00503778337531486,0.010989010989011,0.0051413881748072,-0.341065708439713,1.92570192865233,-7.19811400932531
"1826","CD200","Endo",0.045662100456621,0.0386847195357834,0.0317124735729387,0.0453400503778338,0.0622710622710623,0.0462724935732648,-0.407230426319407,0.368391673299429,-4.47423632501906
"1827","CD200R1","Endo",0.0502283105022831,0.0251450676982592,0.0528541226215645,0.0654911838790932,0.0659340659340659,0.0694087403598972,-0.722216638466754,0.578988583675564,-4.18853339321491
"1828","CD209A","Endo",0.0045662100456621,0.00580270793036751,0.0105708245243129,0.0226700251889169,0.0183150183150183,0.0077120822622108,-1.17168340721627,1.44605704889812,-6.4289673674322
"1829","CD209B","Endo",0.148401826484018,0.0309477756286267,0.0338266384778013,0.0554156171284635,0.102564102564103,0.0437017994858612,-0.225668929707762,1.5798017938418,-3.85427382409254
"1831","CD22","Endo",0.187214611872146,0.164410058027079,0.224101479915433,0.249370277078086,0.327838827838828,0.205655526992288,-0.428454105706248,0.559953105882606,-2.14285153032728
"1832","CD226","Endo",0.0136986301369863,0.011605415860735,0.0169133192389006,0.0151133501259446,0.0183150183150183,0.0077120822622108,0.110982228302046,0.921963766438519,-6.16950121247284
"1833","CD24","Endo",0.0616438356164384,0.0793036750483559,0.0422832980972516,0.0730478589420655,0.0769230769230769,0.0205655526992288,0.279647987852027,0.674017104956887,-4.08408990587755
"1834","CD244","Endo",0.00228310502283105,0.00967117988394584,0.00634249471458774,0.0403022670025189,0.00732600732600733,0.0077120822622108,-1.34106570843971,2.44940440557174,-6.34838516990444
"1835","CD247","Endo",0.0045662100456621,0.00967117988394584,0.0105708245243129,0.0100755667506297,0.021978021978022,0.0179948586118252,-1.03119548440351,0.229356518241622,-6.32468797728406
"1836","CD248","Endo",0.0091324200913242,0.0154738878143133,0.0211416490486258,0.00503778337531486,0.0128205128205128,0.0077120822622108,0.861495150634034,0.591763755443,-6.39454566000132
"1837","CD27","Endo",0.00228310502283105,0.00580270793036751,0.0105708245243129,0.00251889168765743,0.021978021978022,0.0179948586118252,-0.943517349125581,0.902699887025896,-6.61650371044124
"1838","CD274","Endo",0.0365296803652968,0.00580270793036751,0.0739957716701903,0.0982367758186398,0.0622710622710623,0.0539845758354756,-1.46535406181058,1.93961117361851,-4.18084163640894
"1839","CD276","Endo",0.477168949771689,0.37137330754352,0.473572938689218,0.317380352644836,0.261904761904762,0.182519280205656,0.822550984956718,0.480758925119271,-1.52566288925171
"1841","CD2AP","Endo",0.769406392694064,0.823984526112186,0.748414376321353,0.949622166246851,1.14652014652015,0.889460154241645,-0.343091018851271,0.118768532500787,-0.171528791082131
"1842","CD2BP2","Endo",1.55936073059361,1.61508704061896,1.45454545454545,1.3551637279597,1.38644688644689,1.62982005141388,0.0861876024884463,0.216975006973109,0.585030448707487
"1843","CD300A","Endo",0.10958904109589,0.129593810444874,0.109936575052854,0.105793450881612,0.161172161172161,0.161953727506427,-0.274220925267485,0.306881193630809,-2.94704855563544
"1845","CD300LE_PS1","Endo",0.091324200913242,0.0638297872340425,0.103594080338266,0.105793450881612,0.104395604395604,0.107969151670951,-0.327206007189246,0.33996258414285,-3.37855363886952
"1846","CD300LF","Endo",0.426940639269406,0.299806576402321,0.405919661733615,0.201511335012594,0.256410256410256,0.300771208226221,0.580426771420265,0.447519278698999,-1.66553875617491
"1847","CD302","Endo",9.13926940639269,9.73887814313346,8.64904862579281,10.2191435768262,9.01648351648352,11.3341902313625,-0.14666693603122,0.25094184715456,3.27542959739165
"1848","CD320","Endo",0.408675799086758,0.286266924564797,0.3446088794926,0.221662468513854,0.379120879120879,0.341902313624679,0.162890355093324,0.657177433661539,-1.59783284410405
"1849","CD34","Endo",0.0228310502283105,0.0174081237911025,0.0126849894291755,0.0226700251889169,0.010989010989011,0.0179948586118252,0.0564826508744192,0.585453820917869,-5.84231040742073
"1850","CD36","Endo",0.863013698630137,0.831721470019342,0.801268498942918,0.365239294710327,0.847985347985348,0.403598971722365,0.733988623202775,0.671693936362851,-0.544832013521587
"1851","CD37","Endo",0.0981735159817352,0.0386847195357834,0.0930232558139535,0.0957178841309824,0.0677655677655678,0.10025706940874,-0.293427949971509,0.452132423285925,-3.60348386397819
"1852","CD38","Endo",0.321917808219178,0.44100580270793,0.359408033826638,0.380352644836272,0.435897435897436,0.419023136246787,-0.148414524789788,0.143410653658219,-1.34764056009034
"1854","CD3E","Endo",0.00228310502283105,0.00967117988394584,0.0126849894291755,0.0151133501259446,0.0293040293040293,0.0051413881748072,-1.00773237510638,2.07894417006519,-6.33743757534343
