"","Feature","Ratio","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3","M.Ave","M.SD","A","Nominal","Empirical","LODR"
"16551","ERCC-00096","1:1",19.8013698630137,19.5473887814313,30.4059196617336,23.6423173803526,22.2490842490842,16.5449871465296,0.145138928020259,0.635577056565905,4.46151837791339,1,1.07265871292237,"below"
"16554","ERCC-00099","1:1.5",0.0593607305936073,0.0618955512572534,0.0591966173361522,0.0906801007556675,0.0641025641025641,0.0822622107969152,-0.378846199465028,0.292400227132338,-3.84512208720204,0.667,0.71546336151922,"below"
"16556","ERCC-00108","4:1",2.53424657534247,2.45454545454545,3.56871035940803,0.899244332493703,0.6996336996337,0.467866323907455,2.0789301837719,0.754839694600078,0.8243261525649,4,4.29063485168947,"above"
"16558","ERCC-00111","1:1.5",0.952054794520548,1.10251450676983,1.51162790697674,1.82367758186398,1.7032967032967,1.17223650385604,-0.399475637762441,0.681531634093324,0.462123534904143,0.667,0.71546336151922,"below"
"16559","ERCC-00112","1:2",0.0821917808219178,0.135396518375242,0.177589852008457,0.27455919395466,0.230769230769231,0.177377892030848,-0.835862828031825,0.872795052246227,-2.47675994826425,0.5,0.536329356461184,"below"
"16560","ERCC-00113","1:1.5",7.50456621004566,7.22823984526112,10.9556025369979,13.3198992443325,12.3827838827839,9.18508997429306,-0.450019640823449,0.610496731187167,3.33571623758253,0.667,0.71546336151922,"below"
"16561","ERCC-00116","4:1",0.219178082191781,0.259187620889749,0.45877378435518,0.0881612090680101,0.0659340659340659,0.051413881748072,2.14878053004742,0.934050968976687,-2.39258064678825,4,4.29063485168947,"above"
"16566","ERCC-00130","4:1",40.2054794520548,39.3442940038685,64.6934460887949,11.6498740554156,11.03663003663,8.11825192802057,2.20510367439826,0.683932116519111,4.86664406610399,4,4.29063485168947,"above"
"16567","ERCC-00131","4:1",0.273972602739726,0.191489361702128,0.353065539112051,0.0654911838790932,0.0494505494505494,0.0437017994858612,2.34401207546693,0.583044268137465,-2.61827949326561,4,4.29063485168947,"above"
"16569","ERCC-00136","4:1",1.24200913242009,1.34429400386847,2.50528541226216,0.365239294710327,0.362637362637363,0.236503856041131,2.35368348876292,0.912625963249035,0.0133953343415223,4,4.29063485168947,"above"
"16573","ERCC-00143","1:1.5",0.00684931506849315,0.00967117988394584,0.0147991543340381,0.0251889168765743,0.00549450549450549,0.0077120822622108,-0.0409109329566846,1.59284099253726,-6.42734640300172,0.667,0.71546336151922,"below"
"16574","ERCC-00144","4:1",0.0273972602739726,0.0270793036750484,0.0570824524312896,0.0125944584382872,0.00549450549450549,0.0179948586118252,1.6959447290232,0.590533605495899,-5.34477921203225,4,4.29063485168947,"below"
"16575","ERCC-00145","1:1.5",1.53881278538813,1.52030947775629,2.12896405919662,3.09823677581864,2.47985347985348,2.24164524421594,-0.596641972445926,0.477086970794562,1.11634499516449,0.667,0.71546336151922,"below"
"16577","ERCC-00148","1:1",0.0251141552511416,0.0135396518375242,0.025369978858351,0.0251889168765743,0.0366300366300366,0.0077120822622108,0.0926017102378918,1.57911415170588,-5.48945853322624,1,1.07265871292237,"below"
"16581","ERCC-00157","1:1.5",0.0205479452054795,0.0290135396518375,0.025369978858351,0.0478589420654912,0.043956043956044,0.0282776349614396,-0.658556251745518,0.534095746781819,-4.94323829353284,0.667,0.71546336151922,"below"
"16583","ERCC-00160","1:2",0.0365296803652968,0.0290135396518375,0.0570824524312896,0.0856423173803526,0.0512820512820513,0.0359897172236504,-0.461839935933354,0.99731025651127,-4.34353836945745,0.5,0.536329356461184,"below"
"16584","ERCC-00162","1:1.5",0.139269406392694,0.131528046421663,0.13107822410148,0.244332493702771,0.17032967032967,0.138817480719794,-0.422229295488343,0.366594731974833,-2.65085318657733,0.667,0.71546336151922,"below"
"16585","ERCC-00163","1:2",0.0319634703196347,0.0251450676982592,0.0422832980972516,0.105793450881612,0.0695970695970696,0.0462724935732648,-1.10852414092837,0.857132017705812,-4.22407080198659,0.5,0.536329356461184,"below"
"16587","ERCC-00165","1:2",0.089041095890411,0.0870406189555126,0.162790697674419,0.256926952141058,0.194139194139194,0.169665809768638,-0.915274426737608,0.763894354175438,-2.64445087013763,0.5,0.536329356461184,"below"
"16589","ERCC-00170","4:1",0.0342465753424658,0.0251450676982592,0.0422832980972516,0.00755667506297229,0.0128205128205128,0.0154241645244216,1.53561775497685,0.608188455286952,-5.44770773429815,4,4.29063485168947,"below"
"16590","ERCC-00171","1:1",8.20319634703196,7.59187620889749,10.3720930232558,9.63979848866499,8.15934065934066,6.74035989717224,0.0949988615733609,0.46075568026785,3.07914097430638,1,1.07265871292237,"below"
